fund,target_vol,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,total_return
combined_max_sharpe_base,,0.14052623419379381,0.34825366532776453,0.4035168849164453,-0.5274040740928845,0.270019426007428
combined_max_sharpe_vol_targeted,0.4834501192911236,0.12513844760459342,0.4071574527781307,0.3073465725623944,-0.669583765233722,0.13439465257271244
crypto_max_sharpe_base,,0.36511785083887965,0.7898907206602482,0.4622384353796276,-0.8541627958473264,0.16403754280804028
crypto_max_sharpe_vol_targeted,0.7948696890222225,0.37078993236224583,0.788420268821042,0.47029477427908295,-0.8804956747689603,0.188282206810773
