fund,lambda,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,total_return,turnover
equity_min_variance_base,0.0,0.07614837328693201,0.12787601442313287,0.5954859762438507,-0.1830727288731392,0.2251910740088372,0.07143429989532127
equity_min_variance_momentum,1.0,0.08309170547524262,0.13508276329882593,0.6151170100912854,-0.16994377811123262,0.24734162363223322,0.8762708541166978
equity_min_variance_contrarian,-1.0,0.05343761862397413,0.1366715535370744,0.39099298457508425,-0.2121409238751777,0.14084618036804986,0.7976730727680708
