date,fund,return
2021-06-10,combined_equal_weight,-0.004799715458690142
2021-06-11,combined_equal_weight,-0.005929566468440189
2021-06-14,combined_equal_weight,0.0007492351693836757
2021-06-15,combined_equal_weight,0.0008401618357091983
2021-06-16,combined_equal_weight,-0.01824447264472362
2021-06-17,combined_equal_weight,-0.005570700136612286
2021-06-18,combined_equal_weight,-0.02218297042893265
2021-06-21,combined_equal_weight,-0.017547477815348333
2021-06-22,combined_equal_weight,-0.004652135019746895
2021-06-23,combined_equal_weight,0.0114251516164361
2021-06-24,combined_equal_weight,0.01693102791334944
2021-06-25,combined_equal_weight,-0.006932437710560354
2021-06-28,combined_equal_weight,0.0017426400271460013
2021-06-29,combined_equal_weight,0.012414481983307891
2021-06-30,combined_equal_weight,0.005368765226058119
2021-07-01,combined_equal_weight,-0.0033192767515803833
2021-07-02,combined_equal_weight,0.004263327713458632
2021-07-06,combined_equal_weight,-0.004212575069847085
2021-07-07,combined_equal_weight,-0.002181279266246696
2021-07-08,combined_equal_weight,-0.01410093136860779
2021-07-09,combined_equal_weight,0.015525252970304146
2021-07-12,combined_equal_weight,6.6660121256945256e-06
2021-07-13,combined_equal_weight,-0.009426809800300116
2021-07-14,combined_equal_weight,-0.00025849365444602005
2021-07-15,combined_equal_weight,-0.006653536534465437
2021-07-16,combined_equal_weight,-0.011967131418521895
2021-07-19,combined_equal_weight,-0.02245957039543941
2021-07-20,combined_equal_weight,0.002858625921950135
2021-07-21,combined_equal_weight,0.022601742030328022
2021-07-22,combined_equal_weight,0.004775657305063478
2021-07-23,combined_equal_weight,0.009348842887017789
2021-07-26,combined_equal_weight,0.008748477236540465
2021-07-27,combined_equal_weight,0.002717867987850973
2021-07-28,combined_equal_weight,0.00635380484284413
2021-07-29,combined_equal_weight,0.008348407885710781
2021-07-30,combined_equal_weight,0.00028231737218043667
2021-08-02,combined_equal_weight,-0.0004144954999887856
2021-08-03,combined_equal_weight,0.0028984554738739313
2021-08-04,combined_equal_weight,-0.0006855822474707831
2021-08-05,combined_equal_weight,0.006763876655075019
2021-08-06,combined_equal_weight,0.006557461830400195
2021-08-09,combined_equal_weight,0.006843418909327442
2021-08-10,combined_equal_weight,0.00839153195052591
2021-08-11,combined_equal_weight,0.017641084177718844
2021-08-12,combined_equal_weight,-0.002135655200135237
2021-08-13,combined_equal_weight,0.017674559383084754
2021-08-16,combined_equal_weight,-0.008433254654068604
2021-08-17,combined_equal_weight,-0.015290825753124779
2021-08-18,combined_equal_weight,-0.008506412839214213
2021-08-19,combined_equal_weight,0.0064703088836362815
2021-08-20,combined_equal_weight,0.010881405382754462
2021-08-23,combined_equal_weight,0.012042506748717808
2021-08-24,combined_equal_weight,-0.009472567050769251
2021-08-25,combined_equal_weight,0.0038713081381516177
2021-08-26,combined_equal_weight,-0.016122481497608716
2021-08-27,combined_equal_weight,0.02151123226674198
2021-08-30,combined_equal_weight,-0.006425248361791524
2021-08-31,combined_equal_weight,0.005361457888820467
2021-09-01,combined_equal_weight,0.007531067699489176
2021-09-02,combined_equal_weight,0.007735529282360307
2021-09-03,combined_equal_weight,0.004866835916925921
2021-09-07,combined_equal_weight,-0.03628095981293478
2021-09-08,combined_equal_weight,-0.001571656024866978
2021-09-09,combined_equal_weight,-0.004756211936891716
2021-09-10,combined_equal_weight,-0.010110524390361903
2021-09-13,combined_equal_weight,-0.002580416306756818
2021-09-14,combined_equal_weight,-0.0014324195158687495
2021-09-15,combined_equal_weight,0.012875051537632581
2021-09-16,combined_equal_weight,-0.007803687345412979
2021-09-17,combined_equal_weight,-0.014286215712741265
2021-09-20,combined_equal_weight,-0.03329331545513273
2021-09-21,combined_equal_weight,-0.010663478479630055
2021-09-22,combined_equal_weight,0.025647581307518146
2021-09-23,combined_equal_weight,0.012260223908901548
2021-09-24,combined_equal_weight,-0.012367511550657524
2021-09-27,combined_equal_weight,-0.0024383260660474325
2021-09-28,combined_equal_weight,-0.014791132484124888
2021-09-29,combined_equal_weight,0.00746668734471468
2021-09-30,combined_equal_weight,-0.0017850033793431167
2021-10-01,combined_equal_weight,0.024591481632230426
2021-10-04,combined_equal_weight,-0.004760865119006868
2021-10-05,combined_equal_weight,0.011263409404533147
2021-10-06,combined_equal_weight,0.005299640659841376
2021-10-07,combined_equal_weight,0.005638156018019543
2021-10-08,combined_equal_weight,-0.002315084894826297
2021-10-11,combined_equal_weight,-0.004783810819609661
2021-10-12,combined_equal_weight,-0.004723113417267521
2021-10-13,combined_equal_weight,0.008046235807029638
2021-10-14,combined_equal_weight,0.012013720336223652
2021-10-15,combined_equal_weight,0.007506264442978245
2021-10-18,combined_equal_weight,-0.0006564281322926671
2021-10-19,combined_equal_weight,0.010334411223166511
2021-10-20,combined_equal_weight,0.015919467021704395
2021-10-21,combined_equal_weight,-0.005106919703657935
2021-10-22,combined_equal_weight,-0.0005606793506842661
2021-10-25,combined_equal_weight,0.00820131279086554
2021-10-26,combined_equal_weight,0.0020380461203450533
2021-10-27,combined_equal_weight,-0.028659861087892754
2021-10-28,combined_equal_weight,0.016269624424211402
2021-10-29,combined_equal_weight,0.0023780289284411485
2021-11-01,combined_equal_weight,0.00549653945551886
2021-11-02,combined_equal_weight,0.009294275797061706
2021-11-03,combined_equal_weight,0.006961779327564759
2021-11-04,combined_equal_weight,-0.00045417958845015447
2021-11-05,combined_equal_weight,0.00189779066858788
2021-11-08,combined_equal_weight,0.013160514517736175
2021-11-09,combined_equal_weight,0.009076821272139917
2021-11-10,combined_equal_weight,-0.014626270437855955
2021-11-11,combined_equal_weight,0.002818263951857184
2021-11-12,combined_equal_weight,-0.0017091093745052724
2021-11-15,combined_equal_weight,-0.0031997942733268006
2021-11-16,combined_equal_weight,-0.014269076752689023
2021-11-17,combined_equal_weight,-0.004503910391576134
