date,sector,sentiment,sentiment_aligned,n_stocks
2020-01-02,Comm,0.0,0.08718,5
2020-01-03,Comm,0.08718,0.08605,5
2020-01-06,Comm,0.08605,0.13610583333333331,5
2020-01-07,Comm,0.13610583333333331,0.24434666666666666,5
2020-01-08,Comm,0.24434666666666666,0.178182,5
2020-01-09,Comm,0.178182,0.16018,5
2020-01-10,Comm,0.16018,0.028676666666666673,5
2020-01-13,Comm,0.028676666666666673,0.07480916666666668,5
2020-01-14,Comm,0.07480916666666668,0.12403249999999999,5
2020-01-15,Comm,0.12403249999999999,0.07460833333333333,5
2020-01-16,Comm,0.07460833333333333,0.18807999999999997,5
2020-01-17,Comm,0.18807999999999997,0.11223000000000001,5
2020-01-21,Comm,0.11223000000000001,-0.022039999999999997,5
2020-01-22,Comm,-0.022039999999999997,0.0912,5
2020-01-23,Comm,0.0912,0.2556825714285714,5
2020-01-24,Comm,0.2556825714285714,0.17651569696969696,5
2020-01-27,Comm,0.17651569696969696,0.032248181818181815,5
2020-01-28,Comm,0.032248181818181815,0.036708000000000005,5
2020-01-29,Comm,0.036708000000000005,0.318261,5
2020-01-30,Comm,0.318261,-0.012363333333333337,5
2020-01-31,Comm,-0.012363333333333337,-0.17938363636363636,5
2020-02-03,Comm,-0.17938363636363636,0.1140425,5
2020-02-04,Comm,0.1140425,0.13286399999999998,5
2020-02-05,Comm,0.13286399999999998,0.01718566666666667,5
2020-02-06,Comm,0.01718566666666667,0.06914000000000001,5
2020-02-07,Comm,0.06914000000000001,0.098301,5
2020-02-10,Comm,0.098301,0.1062,5
2020-02-11,Comm,0.1062,-0.0014583529411764495,5
2020-02-12,Comm,-0.0014583529411764495,0.15365222222222225,5
2020-02-13,Comm,0.15365222222222225,0.09172261904761904,5
2020-02-14,Comm,0.09172261904761904,0.19884833333333335,5
2020-02-18,Comm,0.19884833333333335,0.04021809523809524,5
2020-02-19,Comm,0.04021809523809524,0.03470309523809523,5
2020-02-20,Comm,0.03470309523809523,0.0010064285714285637,5
2020-02-21,Comm,0.0010064285714285637,-0.06984190476190476,5
2020-02-24,Comm,-0.06984190476190476,-0.02365666666666667,5
2020-02-25,Comm,-0.02365666666666667,0.07111666666666668,5
2020-02-26,Comm,0.07111666666666668,0.12558666666666668,5
2020-02-27,Comm,0.12558666666666668,0.13194,5
2020-02-28,Comm,0.13194,-0.08595571428571427,5
2020-03-02,Comm,-0.08595571428571427,0.10432666666666665,5
2020-03-03,Comm,0.10432666666666665,0.053108,5
2020-03-04,Comm,0.053108,0.10109666666666664,5
2020-03-05,Comm,0.10109666666666664,0.167375,5
2020-03-06,Comm,0.167375,0.163825,5
2020-03-09,Comm,0.163825,-0.010929999999999999,5
2020-03-10,Comm,-0.010929999999999999,-0.04432399999999999,5
2020-03-11,Comm,-0.04432399999999999,-0.07813999999999999,5
2020-03-12,Comm,-0.07813999999999999,-0.10706199999999999,5
2020-03-13,Comm,-0.10706199999999999,-0.029430999999999995,5
2020-03-16,Comm,-0.029430999999999995,-0.12763633333333332,5
2020-03-17,Comm,-0.12763633333333332,-0.01418733333333334,5
2020-03-18,Comm,-0.01418733333333334,-0.116092,5
2020-03-19,Comm,-0.116092,0.026205000000000013,5
2020-03-20,Comm,0.026205000000000013,-0.050164999999999994,5
2020-03-23,Comm,-0.050164999999999994,0.15670375324675323,5
2020-03-24,Comm,0.15670375324675323,0.1847887619047619,5
2020-03-25,Comm,0.1847887619047619,0.14511866666666667,5
2020-03-26,Comm,0.14511866666666667,0.12920166666666666,5
2020-03-27,Comm,0.12920166666666666,0.20956933333333336,5
2020-03-30,Comm,0.20956933333333336,0.18857999999999997,5
2020-03-31,Comm,0.18857999999999997,0.25873833333333335,5
2020-04-01,Comm,0.25873833333333335,0.14176166666666667,5
2020-04-02,Comm,0.14176166666666667,-0.09556,5
