series,date,bin_start,lexicon,value
monthly_mean,2023-08-01,,finvader_lite,0.0966940402969247
monthly_mean,2023-09-01,,finvader_lite,0.12275161290322581
monthly_mean,2023-10-01,,finvader_lite,0.10887347058823528
monthly_mean,2023-11-01,,finvader_lite,0.12678614398422092
monthly_mean,2023-12-01,,finvader_lite,0.12294265050820954
histogram,,-1.0,plain_vader,0.0
histogram,,-0.9666666666666667,plain_vader,0.0
histogram,,-0.9333333333333333,plain_vader,9.0
histogram,,-0.9,plain_vader,26.0
histogram,,-0.8666666666666667,plain_vader,59.0
histogram,,-0.8333333333333334,plain_vader,113.0
histogram,,-0.8,plain_vader,162.0
histogram,,-0.7666666666666666,plain_vader,234.0
histogram,,-0.7333333333333334,plain_vader,223.0
histogram,,-0.7,plain_vader,313.0
histogram,,-0.6666666666666667,plain_vader,557.0
histogram,,-0.6333333333333333,plain_vader,501.0
histogram,,-0.6,plain_vader,689.0
histogram,,-0.5666666666666667,plain_vader,513.0
histogram,,-0.5333333333333333,plain_vader,566.0
histogram,,-0.5,plain_vader,648.0
histogram,,-0.4666666666666667,plain_vader,863.0
histogram,,-0.43333333333333335,plain_vader,1876.0
histogram,,-0.4,plain_vader,1088.0
histogram,,-0.3666666666666667,plain_vader,1498.0
histogram,,-0.33333333333333337,plain_vader,867.0
histogram,,-0.30000000000000004,plain_vader,2678.0
histogram,,-0.2666666666666667,plain_vader,432.0
histogram,,-0.2333333333333334,plain_vader,1327.0
histogram,,-0.19999999999999996,plain_vader,338.0
histogram,,-0.16666666666666663,plain_vader,973.0
histogram,,-0.1333333333333333,plain_vader,1780.0
histogram,,-0.09999999999999998,plain_vader,305.0
histogram,,-0.06666666666666665,plain_vader,449.0
histogram,,-0.033333333333333326,plain_vader,338.0
histogram,,0.0,plain_vader,72394.0
histogram,,0.033333333333333215,plain_vader,517.0
histogram,,0.06666666666666665,plain_vader,657.0
histogram,,0.10000000000000009,plain_vader,1231.0
histogram,,0.1333333333333333,plain_vader,553.0
histogram,,0.16666666666666674,plain_vader,1286.0
histogram,,0.19999999999999996,plain_vader,5861.0
histogram,,0.2333333333333334,plain_vader,2089.0
histogram,,0.2666666666666666,plain_vader,7509.0
histogram,,0.30000000000000004,plain_vader,1090.0
histogram,,0.33333333333333326,plain_vader,4011.0
histogram,,0.3666666666666667,plain_vader,2422.0
histogram,,0.3999999999999999,plain_vader,3947.0
histogram,,0.43333333333333335,plain_vader,5843.0
histogram,,0.46666666666666656,plain_vader,2742.0
histogram,,0.5,plain_vader,2616.0
histogram,,0.5333333333333332,plain_vader,1336.0
histogram,,0.5666666666666667,plain_vader,2071.0
histogram,,0.6000000000000001,plain_vader,1480.0
histogram,,0.6333333333333333,plain_vader,3118.0
histogram,,0.6666666666666667,plain_vader,969.0
histogram,,0.7,plain_vader,1028.0
histogram,,0.7333333333333334,plain_vader,971.0
histogram,,0.7666666666666666,plain_vader,747.0
histogram,,0.8,plain_vader,434.0
histogram,,0.8333333333333333,plain_vader,302.0
histogram,,0.8666666666666667,plain_vader,119.0
histogram,,0.8999999999999999,plain_vader,42.0
histogram,,0.9333333333333333,plain_vader,26.0
histogram,,0.9666666666666666,plain_vader,0.0
histogram,,-1.0,finvader_lite,0.0
histogram,,-0.9666666666666667,finvader_lite,0.0
histogram,,-0.9333333333333333,finvader_lite,13.0
histogram,,-0.9,finvader_lite,36.0
histogram,,-0.8666666666666667,finvader_lite,73.0
histogram,,-0.8333333333333334,finvader_lite,149.0
histogram,,-0.8,finvader_lite,191.0
histogram,,-0.7666666666666666,finvader_lite,274.0
histogram,,-0.7333333333333334,finvader_lite,261.0
histogram,,-0.7,finvader_lite,364.0
histogram,,-0.6666666666666667,finvader_lite,637.0
histogram,,-0.6333333333333333,finvader_lite,540.0
